Borough,UHF42,Zip,PoorPhysicalHealthPercent,PoorMentalHealthPercent,HighBPPercent,avgHVI,MedianAge,MedianIncome,PercentCollege,PercentMale,PercentMarried,PercentWhite,PercentBlack,PercentAsian,PercentOtherRace,Percent65plus,ForeignBornPercent,RacialDiversityIndex,MedianHouseholdIncome,PovertyRate,UnemployRate,BAdegreePercent,HomeownershipPercent
BX,101,10463,14.2,15.4,30.9,3.375,41.9,72952.0,43.9,45.3,37.3,38.4,15.1,4.0,42.5,10.1,29.3,0.65,43390.0,30.7,14.3,14.6,19.5
BX,101,10471,10.8,13.2,28.9,3.0,46.4,108738.0,58.5,47.2,43.0,57.2,8.9,4.6,29.3,10.1,29.3,0.65,43390.0,30.7,14.3,14.6,19.5
BX,102,10466,15.0,18.0,36.7,5.0,37.2,66328.0,25.9,45.2,36.2,6.0,64.0,2.0,28.0,10.1,29.3,0.65,43390.0,30.7,14.3,14.6,19.5
BX,102,10469,13.9,16.5,35.5,4.5,39.9,76018.0,29.1,46.6,36.9,12.5,57.0,6.3,24.2,10.1,29.3,0.65,43390.0,30.7,14.3,14.6,19.5
BX,102,10470,12.5,16.3,30.8,5.0,41.5,81134.0,40.8,48.2,37.9,41.8,34.0,2.6,21.6,10.1,29.3,0.65,43390.0,30.7,14.3,14.6,19.5
BX,102,10475,14.6,15.0,40.3,4.5,44.1,62383.0,27.6,45.8,31.2,8.1,64.0,1.9,26.0,10.1,29.3,0.65,43390.0,30.7,14.3,14.6,19.5
BX,103,10458,17.9,20.8,30.3,4.0,31.1,42107.0,16.1,47.6,28.4,11.3,18.3,3.8,66.6,10.1,29.3,0.65,43390.0,30.7,14.3,14.6,19.5
BX,103,10467,16.2,18.5,32.8,4.0,36.6,47806.0,22.0,47.6,34.0,15.8,31.0,6.5,46.7,10.1,29.3,0.65,43390.0,30.7,14.3,14.6,19.5
BX,103,10468,17.5,18.9,31.5,3.6,34.4,46624.0,15.7,48.9,31.3,10.8,24.0,2.3,62.9,10.1,29.3,0.65,43390.0,30.7,14.3,14.6,19.5
BX,104,10461,14.1,16.4,29.0,3.0,38.5,65023.0,27.3,47.4,42.5,40.2,10.1,13.7,36.0,10.1,29.3,0.65,43390.0,30.7,14.3,14.6,19.5
BX,104,10462,14.3,16.5,30.5,4.142857142857143,35.7,63460.0,27.7,48.9,39.0,15.6,24.3,18.2,41.9,10.1,29.3,0.65,43390.0,30.7,14.3,14.6,19.5
BX,104,10464,11.5,12.8,30.6,3.5,54.9,100306.0,45.8,48.7,46.8,66.7,1.4,2.1,29.8,10.1,29.3,0.65,43390.0,30.7,14.3,14.6,19.5
BX,104,10465,13.1,15.6,29.9,2.6666666666666665,37.9,90255.0,29.5,49.9,40.7,45.1,13.3,5.8,35.8,10.1,29.3,0.65,43390.0,30.7,14.3,14.6,19.5
BX,104,10472,18.3,19.3,33.0,4.25,33.2,43125.0,13.7,49.7,29.6,7.0,27.2,8.1,57.7,10.1,29.3,0.65,43390.0,30.7,14.3,14.6,19.5
BX,104,10473,16.1,17.5,34.0,4.0,38.6,50609.0,23.8,46.0,25.7,13.1,41.0,2.4,43.5,10.1,29.3,0.65,43390.0,30.7,14.3,14.6,19.5
BX,105,10453,19.4,20.5,33.8,4.75,34.7,35482.0,14.6,45.2,28.6,11.3,32.8,1.3,54.6,10.1,29.3,0.65,43390.0,30.7,14.3,14.6,19.5
BX,105,10457,19.1,20.7,33.9,5.0,31.8,44911.0,14.9,46.2,27.4,9.0,41.7,0.7,48.6,10.1,29.3,0.65,43390.0,30.7,14.3,14.6,19.5
BX,105,10460,19.4,20.5,34.1,4.666666666666667,34.4,36067.0,15.2,48.2,27.3,10.7,36.4,1.0,51.9,10.1,29.3,0.65,43390.0,30.7,14.3,14.6,19.5
BX,106,10451,18.9,19.7,35.9,5.0,36.0,37111.0,21.3,45.0,25.9,13.1,47.7,1.1,38.1,10.1,29.3,0.65,43390.0,30.7,14.3,14.6,19.5
BX,106,10452,19.4,20.2,34.3,4.75,33.7,37854.0,14.3,47.7,26.9,11.7,34.7,0.9,52.7,10.1,29.3,0.65,43390.0,30.7,14.3,14.6,19.5
BX,106,10456,19.9,21.2,35.8,5.0,33.6,35676.0,14.0,46.2,23.6,10.2,47.5,0.8,41.5,10.1,29.3,0.65,43390.0,30.7,14.3,14.6,19.5
BX,107,10454,21.1,21.5,35.2,5.0,33.7,27500.0,13.9,46.2,28.9,12.1,30.1,0.6,57.2,10.1,29.3,0.65,43390.0,30.7,14.3,14.6,19.5
BX,107,10455,19.8,20.9,33.7,5.0,33.9,36701.0,16.2,46.9,23.6,8.5,30.4,1.5,59.6,10.1,29.3,0.65,43390.0,30.7,14.3,14.6,19.5
BX,107,10459,18.6,20.2,33.6,5.0,33.7,39276.0,13.9,47.5,29.0,7.9,34.4,1.1,56.6,10.1,29.3,0.65,43390.0,30.7,14.3,14.6,19.5
BX,107,10474,16.9,19.3,32.6,5.0,32.0,41279.0,15.0,49.9,22.1,6.6,30.7,0.4,62.3,10.1,29.3,0.65,43390.0,30.7,14.3,14.6,19.5
BK,201,11211,11.3,17.7,20.2,3.0,31.4,105183.0,54.8,50.5,36.2,62.9,6.0,7.0,24.1,11.5,37.8,0.72,50500.0,25.1,10.7,21.8,27.1
BK,201,11222,8.1,14.7,17.9,2.6666666666666665,34.9,123963.0,65.4,48.6,35.6,71.0,4.2,5.8,19.0,11.5,37.8,0.72,50500.0,25.1,10.7,21.8,27.1
BK,202,11201,7.9,13.2,19.4,1.75,35.2,169285.0,79.2,46.6,41.3,60.4,12.4,14.4,12.8,11.5,37.8,0.72,50500.0,25.1,10.7,21.8,27.1
BK,202,11205,11.9,18.1,23.8,2.75,30.5,86753.0,52.5,46.4,34.2,54.2,21.6,6.7,17.5,11.5,37.8,0.72,50500.0,25.1,10.7,21.8,27.1
BK,202,11215,7.8,12.8,19.7,1.75,37.4,180773.0,80.3,49.9,55.0,71.2,3.6,9.1,16.1,11.5,37.8,0.72,50500.0,25.1,10.7,21.8,27.1
BK,202,11217,8.6,13.9,21.5,1.8,35.9,158314.0,72.9,46.3,38.3,52.6,17.6,9.5,20.3,11.5,37.8,0.72,50500.0,25.1,10.7,21.8,27.1
BK,202,11231,10.3,14.3,22.6,2.0,37.7,138485.0,69.1,46.9,46.5,64.5,12.4,4.9,18.2,11.5,37.8,0.72,50500.0,25.1,10.7,21.8,27.1
BK,203,11213,14.3,19.1,31.8,4.0,34.5,62040.0,34.0,46.8,30.5,25.0,58.6,1.7,14.7,11.5,37.8,0.72,50500.0,25.1,10.7,21.8,27.1
BK,203,11212,17.7,20.2,38.9,4.8,35.6,40060.0,16.4,42.5,23.4,6.7,70.1,1.1,22.1,11.5,37.8,0.72,50500.0,25.1,10.7,21.8,27.1
BK,203,11216,9.9,16.5,24.4,3.6666666666666665,34.8,95000.0,55.8,44.4,27.1,31.5,47.2,5.1,16.2,11.5,37.8,0.72,50500.0,25.1,10.7,21.8,27.1
