,Zip,Borough,avgHVI
0,10451,BX,5.0
0,10454,BX,5.0
0,10455,BX,5.0
1,10456,BX,5.0
1,10459,BX,5.0
2,10474,BX,5.0
5,10457,BX,5.0
6,10460,BX,4.666666666666667
7,10452,BX,4.75
10,10453,BX,4.75
12,10458,BX,4.0
12,10468,BX,3.6
13,10462,BX,4.142857142857143
13,10472,BX,4.25
16,10463,BX,3.375
18,10467,BX,4.0
20,10471,BX,3.0
23,10473,BX,4.0
25,10465,BX,2.6666666666666665
25,10499,BX,2.6666666666666665
27,10461,BX,3.0
29,10464,BX,3.5
29,10803,BX,3.5
30,10475,BX,4.5
33,10469,BX,4.5
35,10466,BX,5.0
37,10470,BX,5.0
38,11211,BK,3.0
38,11222,BK,2.6666666666666665
38,11249,BK,3.0
39,11206,BK,3.5
40,11205,BK,2.75
40,11251,BK,2.75
41,11237,BK,4.0
42,11201,BK,1.75
42,11202,BK,1.75
42,11241,BK,1.75
42,11242,BK,1.75
42,11245,BK,1.75
42,11248,BK,1.75
42,11254,BK,1.75
42,11255,BK,1.75
42,11256,BK,1.75
43,11217,BK,1.8
43,11243,BK,1.8
43,11244,BK,1.8
44,11238,BK,2.5714285714285716
44,11247,BK,2.5714285714285716
46,11216,BK,3.6666666666666665
46,11221,BK,3.75
47,10417,BK,4.333333333333333
47,11213,BK,4.0
47,11233,BK,4.333333333333333
49,11207,BK,4.428571428571429
50,11208,BK,4.5
52,11236,BK,4.833333333333333
53,11239,BK,4.0
54,11416,BK,3.75
54,11417,BK,3.6
55,11215,BK,1.75
55,11231,BK,2.0
57,11218,BK,2.8
58,11220,BK,2.6
58,11232,BK,2.6666666666666665
59,11219,BK,3.2
59,11240,BK,3.2
61,11212,BK,4.8
62,11203,BK,4.833333333333333
62,11225,BK,4.5
63,11226,BK,4.4
64,11209,BK,2.0
64,11228,BK,2.75
64,11252,BK,2.0
66,11204,BK,3.75
66,11214,BK,3.8
68,11223,BK,3.6666666666666665
70,11230,BK,3.3333333333333335
73,11235,BK,3.6
74,11224,BK,5.0
76,11210,BK,4.166666666666667
78,11229,BK,2.8
80,11234,BK,4.0
91,10004,MN,1.0
91,10005,MN,1.0
91,10006,MN,1.0
91,10007,MN,1.0
91,10008,MN,1.0
91,10015,MN,1.0
91,10038,MN,1.6666666666666667
91,10041,MN,1.0
91,10043,MN,1.0
91,10045,MN,1.0
91,10046,MN,1.0
91,10047,MN,1.0
91,10048,MN,1.0
91,10079,MN,1.0
91,10080,MN,1.0
91,10081,MN,1.0
91,10094,MN,1.0
91,10096,MN,1.0
91,10098,MN,1.0
91,10184,MN,1.0
91,10196,MN,1.0
91,10203,MN,1.0
91,10212,MN,1.6666666666666667
91,10242,MN,1.0
91,10249,MN,1.0
91,10256,MN,1.0
91,10257,MN,1.0
91,10258,MN,1.0
91,10260,MN,1.0
91,10265,MN,1.0
91,10268,MN,1.0
91,10269,MN,1.0
91,10270,MN,1.0
91,10271,MN,1.0
91,10273,MN,1.6666666666666667
91,10274,MN,1.0
91,10275,MN,1.0
91,10277,MN,1.0
91,10279,MN,1.0
91,10280,MN,1.0
91,10281,MN,1.0
91,10282,MN,1.0
91,10285,MN,1.0
91,10286,MN,1.0
91,10292,MN,1.6666666666666667
92,10013,MN,1.6666666666666667
92,10213,MN,1.6666666666666667
92,10278,MN,1.0
93,10012,MN,1.0
93,10014,MN,1.0
93,10272,MN,1.0
94,10003,MN,1.25
94,10011,MN,1.0
94,10113,MN,1.0
94,10114,MN,1.0
94,10211,MN,1.25
94,10276,MN,1.25
96,10002,MN,2.3333333333333335
98,10009,MN,1.5
99,10001,MN,1.0
99,10018,MN,1.3333333333333333
99,10036,MN,1.3333333333333333
99,10060,MN,1.0
99,10072,MN,1.0
99,10090,MN,1.3333333333333333
99,10095,MN,1.0
99,10099,MN,1.0
99,10108,MN,1.3333333333333333
99,10109,MN,1.3333333333333333
99,10117,MN,1.0
99,10118,MN,1.0
99,10119,MN,1.0
99,10120,MN,1.0
