Zip,MedianAge,MedianIncome,PercentCollege,PercentMale,PercentMarried,PercentWhite,PercentBlack,PercentAsian,PercentOtherRace
10001,35,123393,71.5,48.4,28.6,54.7,10.6,18,16.7
10002,42.9,46525,38.9,50.5,34.9,31.2,9.4,36.7,22.7
10003,31.7,153750,82.2,49.1,25.6,67.2,4.4,17.9,10.5
10004,32.9,220592,90.9,54.7,53.1,63.5,7.2,23.8,5.5
10005,31.5,211810,84.3,50.2,32.2,67.7,4.4,14.2,13.7
10006,31.5,209972,84.9,44.1,31.4,65.5,6.1,23.6,4.8
10007,33.8,250001,86.4,47.4,45.4,71.7,9,15.1,4.2
10009,38.2,87963,62.6,50.1,28,55.4,8.6,12.9,23.1
10010,36,156127,80.5,46.6,37.4,65.5,9.1,14.2,11.2
10011,43,146571,79.2,50.3,33.6,71.6,4,10.4,14
10012,35.5,130938,83.3,47.8,30.9,69,3.3,17.3,10.4
10013,40.3,159474,72,47.4,45.1,56.3,3.7,30.6,9.4
10014,39.4,167254,84.8,49.1,34.1,81.7,3,5.1,10.2
10016,33.7,153065,81.7,48.8,31.1,62,4.7,19.9,13.4
10017,41.4,132518,85.3,46.1,35.9,67.4,3.3,18.3,11
10018,33.5,133042,75.2,49.8,31.3,44.2,10,27.4,18.4
10019,40.6,121835,77.5,54.6,31.5,60.7,6.2,18.4,14.7
10021,41.8,156712,80.6,43.7,52,82.6,0.6,9.8,7
10022,47.1,171038,83.6,46.2,50.1,76.8,2,11.7,9.5
10023,43.8,157866,84.3,45.9,42,67.6,4.7,16.2,11.5
10024,44.8,182614,84.2,47,52,81,3,4.8,11.2
10025,40.4,109195,68.8,46.8,34.3,57.8,10.6,10.1,21.5
10026,37.6,74140,53.5,47.4,31.1,26.5,47.8,6.4,19.3
10027,32.5,64220,51.9,48.5,24.5,30.2,36.1,10.2,23.5
10028,42.8,168125,83.3,44.8,48.3,84.5,1.6,7,6.9
10029,37.8,38308,35.7,43.6,24.1,21.2,31.6,11.9,35.3
10030,37.3,42738,35,47.2,22.7,15.1,58.3,4.9,21.7
10031,37.1,65067,40.9,49.4,28.5,21.1,28.8,4.3,45.8
10032,38.4,56588,39.8,47.9,25.2,21.6,16.2,5,57.2
10033,37.7,75585,41.3,50.3,31.6,33.5,7.1,3.4,56
10034,38.1,69786,39.2,47.5,34.8,26.9,11.2,3.2,58.7
10035,36.9,40556,30.7,50.6,22.5,20.4,38.2,5.8,35.6
10036,39.7,100225,69.3,56.7,25.2,55.6,8.1,15.3,21
10037,41.6,51250,43.2,42.4,23.4,14,64,4.2,17.8
10038,34.1,115121,61.6,44.1,30.9,44.6,11.2,29.5,14.7
10039,38.6,48792,27.1,47,23.5,10.4,54.9,1.5,33.2
10040,41.5,64022,38.3,47.7,34.3,26.5,6.7,1.8,65
10044,39.4,106146,72,46.3,49.6,42.2,14.8,29.5,13.5
10065,40.3,160938,85.9,44.1,45.3,76.1,2.2,13.1,8.6
10069,39.3,226151,91.1,55.9,60.9,45.5,3,29.2,22.3
10075,43.6,146556,84.9,41.9,50.7,82.7,0.8,9.5,7
